Film_ID, Category_ID, Title, Description
5,8, AFRICAN EGG, A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico
6,9, AGENT TRUMAN, A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China
7,5, AIRPLANE SIERRA, A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat
11,9, ALAMO VIDEOTAPE, A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention
14,4, ALICE FANTASIA, A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia
15,9, ALIEN CENTER, A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention
16,9, ALLEY EVOLUTION, A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans
18,2, ALTER VICTORY, A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies
19,1, AMADEUS HOLY, A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon
21,1, AMERICAN CIRCUS, A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank
23,2, ANACONDA CONFESSIONS, A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia
28,5, ANTHEM LUKE, A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park
29,1, ANTITRUST TOMATOES, A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India
31,8, APACHE DIVINE, A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat
36,2, ARGONAUTS TOWN, A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft
37,4, ARIZONA BANG, A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery
38,1, ARK RIDGEMONT, A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert
43,8, ATLANTIS CAUSE, A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank
47,9, BABY HALL, A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft
48,3, BACKLASH UNDEFEATED, A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery
